txn_id,member_id,date,request_type,revenue,variable_cost,partner_fee,sla_met
T200113,M101135,2026-02-05,Gifts,9.08,8.97,0.63,1
T200114,M100192,2025-10-28,Dining,11.85,9.52,1.42,1
T200115,M101235,2025-09-29,Travel,21.81,14.56,1.4,1
T200116,M101474,2026-01-23,Dining,14.94,6.68,1.21,1
T200117,M101214,2025-10-12,Travel,18.12,7.68,1.5,1
T200118,M100242,2025-11-03,Events,16.67,9.65,0.84,1
T200119,M100887,2025-12-27,Dining,16.8,7.19,0.38,1
T200120,M100960,2026-01-25,Dining,11.42,4.85,0.45,1
T200121,M100703,2025-09-08,Gifts,7.91,7.43,0.97,1
T200122,M100839,2026-01-21,Travel,19.15,7.63,0.76,1
T200123,M101372,2025-09-08,Travel,15.8,9.71,0.64,1
T200124,M101502,2025-11-01,Gifts,12.83,7.34,1.18,1
T200125,M100540,2025-09-24,Dining,14.47,6.85,0.85,1
T200126,M100593,2026-01-03,Lifestyle,13.66,6.74,0.44,1
T200127,M100374,2026-02-20,Gifts,10.05,7.04,0.48,1
T200128,M100723,2025-10-31,Travel,16.19,10.68,1.25,0
T200129,M100982,2025-12-21,Events,17.41,8.27,0.4,1
T200130,M101284,2025-11-18,Travel,21.61,11.04,0.44,1
T200131,M100481,2025-12-05,Gifts,15.03,5.99,1.3,1
T200132,M100389,2025-12-30,Dining,17.42,7.75,1.16,1
T200133,M100059,2025-10-19,Gifts,10.46,8.08,1.41,1
T200134,M100169,2025-11-27,Travel,19.37,10.97,1.19,0
T200135,M100092,2025-11-03,Gifts,10.7,9.16,1.11,1
T200136,M100373,2025-10-28,Lifestyle,12.61,5.11,0.99,1
T200137,M101251,2025-10-26,Travel,22.5,9.33,0.99,1
T200138,M101393,2025-12-28,Travel,22.94,7.71,1.28,0
T200139,M101751,2025-10-10,Events,18.97,7.62,0.6,1
T200140,M100981,2026-01-17,Events,22.53,8.68,0.81,1
T200141,M100818,2025-09-08,Dining,11.7,6.85,0.52,1
T200142,M101618,2025-10-03,Events,9.87,7.6,0.98,1
T200143,M100264,2025-11-18,Gifts,13.41,5.54,1.14,1
T200144,M101134,2026-01-24,Lifestyle,14.0,8.12,1.07,1
T200145,M101472,2025-09-16,Gifts,11.98,3.6,0.55,1
T200146,M100904,2025-11-18,Events,18.15,5.57,1.29,1
T200147,M100470,2025-10-02,Dining,11.83,5.13,0.68,1
T200148,M101117,2026-02-21,Dining,9.04,7.31,0.81,1
T200149,M101792,2025-12-27,Events,20.5,9.06,1.24,1
T200150,M100424,2026-01-03,Events,18.94,9.52,0.92,1
T200151,M101013,2025-10-02,Lifestyle,6.61,7.35,0.82,1
T200152,M100091,2025-12-04,Travel,19.47,11.3,1.78,1
T200153,M100418,2026-02-04,Dining,16.97,10.61,1.01,1
T200154,M101380,2025-11-07,Dining,11.45,7.79,0.91,0
T200155,M100892,2026-01-28,Events,19.68,13.19,0.81,1
T200156,M100358,2025-12-07,Travel,13.76,10.62,0.77,1
T200157,M100603,2025-08-31,Dining,9.26,5.89,0.92,1
T200158,M100217,2025-12-09,Dining,9.69,4.27,0.63,1
T200159,M101403,2025-12-10,Travel,22.18,10.74,0.62,1
T200160,M101697,2026-02-18,Travel,15.71,7.16,0.76,1
T200161,M100190,2025-12-05,Lifestyle,9.04,5.61,1.14,1
T200162,M100428,2025-09-06,Lifestyle,13.45,5.74,1.26,1
T200163,M101542,2025-09-07,Dining,11.83,8.12,0.28,1
T200164,M101581,2025-09-05,Gifts,20.19,6.22,1.0,1
T200165,M101381,2025-12-22,Events,14.82,9.3,0.84,1
T200166,M101287,2026-02-14,Lifestyle,11.53,4.85,1.79,1
T200167,M101550,2026-01-14,Events,16.89,10.06,0.81,1
T200168,M100672,2026-01-18,Dining,10.21,9.33,0.5,1
T200169,M101610,2026-02-11,Dining,12.58,5.11,1.17,1
T200170,M101595,2025-10-21,Lifestyle,8.71,7.76,1.16,1
T200171,M100413,2025-11-23,Lifestyle,9.07,10.66,0.82,1
T200172,M100131,2025-10-19,Events,22.44,9.3,1.06,1
T200173,M100937,2026-01-21,Events,23.73,6.73,1.3,1
T200174,M101364,2025-10-23,Events,18.62,8.91,1.35,0
T200175,M101529,2026-02-14,Gifts,11.31,4.08,1.09,1
T200176,M100256,2025-10-19,Events,18.45,10.02,0.67,1
T200177,M100679,2025-10-02,Dining,15.68,9.07,0.45,1
T200178,M101382,2026-01-11,Travel,16.61,7.66,0.67,1
T200179,M100108,2025-12-28,Events,19.88,7.98,1.24,1
T200180,M101301,2025-12-09,Travel,18.62,11.35,1.09,1
T200181,M100524,2025-11-13,Lifestyle,10.72,9.12,0.26,1
T200182,M100040,2025-11-22,Lifestyle,13.1,5.45,0.21,1
T200183,M100435,2026-02-07,Dining,8.9,9.99,0.0,1
T200184,M101335,2025-12-19,Lifestyle,9.57,9.18,1.06,1
T200185,M101566,2025-11-26,Gifts,15.67,7.88,0.78,1
T200186,M100146,2025-11-07,Events,17.94,8.75,0.77,1
T200187,M100834,2025-11-04,Dining,9.04,7.82,0.88,1
T200188,M100362,2025-10-29,Travel,19.5,12.02,0.75,1
T200189,M101230,2025-12-07,Lifestyle,14.73,3.46,0.71,1
T200190,M101405,2025-11-27,Gifts,14.61,6.39,1.4,1
T200191,M101731,2025-12-27,Events,17.79,6.14,1.19,1
T200192,M100638,2026-01-08,Dining,10.29,4.37,1.23,1
T200193,M100538,2026-01-01,Travel,24.38,11.03,1.44,1
T200194,M100557,2025-12-09,Events,15.64,8.33,1.29,1
T200195,M101370,2026-02-06,Gifts,16.35,7.56,0.55,1
T200196,M100801,2026-01-17,Lifestyle,14.99,6.37,1.11,1
T200197,M100040,2026-02-05,Travel,18.69,9.16,0.26,1
T200198,M101705,2025-12-14,Travel,18.49,10.43,0.63,0
T200199,M100187,2025-11-28,Travel,24.59,13.26,1.24,1
T200200,M101670,2026-01-27,Dining,11.37,7.77,0.68,1
T200201,M100291,2026-02-01,Dining,9.98,5.81,1.06,1
T200202,M100968,2025-11-23,Travel,24.27,9.65,1.47,1
T200203,M100562,2026-01-16,Gifts,12.14,7.83,0.88,1
T200204,M101236,2025-09-22,Travel,23.29,9.97,0.81,1
T200205,M100725,2026-01-27,Lifestyle,10.54,6.92,0.8,0
T200206,M100661,2025-12-01,Lifestyle,13.59,6.56,0.77,1
T200207,M100858,2025-10-04,Dining,7.79,6.38,0.74,1
T200208,M101747,2026-02-07,Gifts,11.51,8.9,0.86,1
T200209,M100441,2025-12-07,Dining,11.71,6.72,1.02,1
T200210,M100395,2025-12-03,Dining,11.38,9.48,0.81,1
T200211,M100119,2025-11-18,Travel,13.73,8.31,0.81,1
T200212,M101329,2025-09-19,Dining,16.33,5.85,0.93,1
T200213,M101219,2025-11-13,Gifts,9.95,6.72,0.5,1
T200214,M101095,2025-12-20,Gifts,9.37,5.61,0.83,1
T200215,M100042,2025-12-16,Events,13.35,9.59,1.13,1
T200216,M101423,2025-11-05,Events,24.56,10.0,0.49,1
T200217,M101457,2026-01-03,Gifts,10.68,3.68,1.08,1
T200218,M101701,2025-10-25,Gifts,12.11,2.68,1.15,1
T200219,M101672,2025-12-19,Lifestyle,8.87,7.9,1.53,1
T200220,M100473,2026-02-15,Gifts,11.03,4.92,1.02,1
T200221,M101278,2025-11-21,Travel,20.04,8.58,0.64,1
T200222,M100724,2026-01-11,Events,18.9,10.31,0.88,1
T200223,M101072,2025-12-23,Events,19.76,8.35,0.72,1
T200224,M100598,2025-12-29,Dining,14.5,7.41,0.83,1
T200225,M101182,2026-02-01,Lifestyle,9.06,7.2,0.44,1
T200226,M101714,2026-01-04,Lifestyle,13.7,7.93,0.88,1
T200227,M101173,2025-09-14,Lifestyle,3.64,7.02,1.35,1
T200228,M101657,2025-12-30,Dining,5.64,4.15,1.36,1
T200229,M101677,2025-10-17,Dining,16.43,6.15,1.14,1
T200230,M100213,2025-12-14,Dining,13.14,12.47,0.62,1
T200231,M101735,2026-02-14,Lifestyle,9.55,6.87,1.08,1
T200232,M101472,2025-09-28,Events,17.4,10.93,0.84,1
T200233,M100768,2025-09-15,Gifts,8.7,4.53,0.8,0
T200234,M101080,2026-01-14,Lifestyle,8.17,7.32,1.32,1
T200235,M101110,2026-01-26,Dining,15.97,6.14,0.79,1
T200236,M101415,2025-09-11,Travel,18.78,8.54,0.78,1
T200237,M101445,2026-02-08,Gifts,9.01,10.67,1.07,1
T200238,M100184,2025-09-18,Dining,11.42,8.77,0.43,1
T200239,M100001,2026-01-25,Events,24.9,9.3,0.84,1
T200240,M100443,2025-09-22,Travel,18.81,9.94,1.35,0
T200241,M100948,2025-09-11,Events,15.58,8.67,1.42,1
T200242,M101528,2026-01-13,Lifestyle,14.1,4.55,0.6,1
T200243,M101175,2026-01-17,Dining,12.52,6.17,0.56,1
T200244,M100244,2026-02-06,Events,22.3,11.07,0.7,1
T200245,M101290,2025-10-07,Lifestyle,9.21,7.9,0.0,1
T200246,M100842,2025-12-25,Travel,19.65,11.53,1.5,1
T200247,M100663,2025-11-02,Gifts,8.34,4.83,1.15,1
T200248,M101388,2025-11-07,Lifestyle,10.43,3.83,0.52,1
T200249,M100532,2025-11-24,Dining,15.75,6.94,0.42,1
T200250,M101113,2026-01-13,Dining,12.16,5.2,0.91,1
T200251,M100327,2025-12-22,Dining,12.12,6.43,1.03,1
T200252,M100686,2025-11-27,Dining,14.25,8.32,1.63,1
T200253,M101004,2026-02-09,Travel,20.85,11.06,0.73,1
T200254,M101122,2025-12-15,Dining,10.05,5.22,0.98,1
T200255,M101654,2025-10-21,Travel,22.57,11.21,0.74,1
T200256,M100522,2025-12-12,Gifts,14.77,9.15,0.84,1
T200257,M101612,2025-12-16,Travel,24.26,12.63,1.56,1
T200258,M101469,2025-09-27,Events,15.99,9.19,1.86,1
T200259,M100647,2025-11-21,Dining,9.91,5.07,1.15,0
T200260,M100252,2025-10-16,Gifts,8.04,6.34,0.44,1
T200261,M100464,2026-02-16,Travel,20.72,12.29,1.23,1
T200262,M101184,2025-09-11,Dining,9.59,5.94,0.92,1
T200263,M101419,2025-10-09,Lifestyle,9.6,5.47,1.0,1
T200264,M101102,2025-09-30,Gifts,10.44,8.24,0.85,0
T200265,M101304,2025-10-24,Gifts,12.28,6.37,0.71,1
T200266,M100183,2025-11-21,Gifts,11.67,7.14,1.09,1
T200267,M100909,2025-11-22,Travel,22.43,10.9,0.71,1
T200268,M101572,2025-11-05,Travel,24.81,11.46,0.81,1
T200269,M100700,2025-11-28,Events,16.69,10.09,0.92,1
T200270,M101617,2025-10-17,Lifestyle,9.37,8.38,1.01,1
T200271,M100222,2025-12-27,Lifestyle,14.49,7.99,0.39,1
T200272,M101761,2025-10-10,Events,17.03,12.06,1.03,1
T200273,M101413,2025-12-26,Travel,25.19,10.09,0.74,1
T200274,M101127,2025-12-02,Gifts,5.01,3.92,1.09,1
T200275,M101111,2026-02-13,Gifts,10.0,5.81,1.68,1
T200276,M101685,2025-09-16,Dining,8.48,11.87,0.61,1
T200277,M100678,2025-10-25,Travel,19.36,10.37,0.88,1
T200278,M100296,2026-01-12,Dining,11.13,2.74,0.77,1
T200279,M101653,2026-02-17,Travel,20.51,14.39,0.72,1
T200280,M100184,2025-09-25,Gifts,8.48,6.46,0.5,1
T200281,M101187,2026-02-25,Travel,24.78,9.05,0.95,1
T200282,M100478,2025-12-01,Events,17.84,6.51,0.58,1
T200283,M101672,2026-02-20,Travel,20.57,10.82,1.48,1
T200284,M101752,2025-10-24,Dining,6.98,8.08,1.01,1
T200285,M100853,2026-01-20,Gifts,13.9,7.94,0.46,1
T200286,M100959,2025-12-11,Events,16.04,11.1,1.03,1
T200287,M100818,2025-11-15,Lifestyle,10.73,3.44,0.94,1
T200288,M100765,2025-12-21,Gifts,14.64,4.61,0.51,1
T200289,M101687,2025-10-26,Lifestyle,10.5,6.7,0.89,1
T200290,M100516,2025-11-26,Dining,14.2,8.16,0.98,1
T200291,M101727,2025-12-12,Events,19.3,9.97,1.66,1
T200292,M101170,2025-12-29,Travel,24.12,6.45,0.52,1
T200293,M101729,2025-12-14,Gifts,14.54,8.25,1.03,1
T200294,M101101,2025-12-30,Events,24.56,5.76,0.49,1
T200295,M101474,2025-11-14,Dining,17.86,6.72,0.78,1
T200296,M100881,2025-10-11,Events,15.19,10.88,0.55,1
T200297,M100832,2025-11-10,Gifts,12.02,8.97,1.41,1
T200298,M100463,2026-02-20,Travel,19.0,6.63,1.35,1
T200299,M100378,2025-09-26,Gifts,18.61,7.74,1.29,1
T200300,M100067,2025-10-07,Lifestyle,14.38,8.59,0.68,1
T200301,M100690,2025-10-01,Dining,13.47,8.8,0.61,1
T200302,M101777,2026-02-17,Events,15.63,8.18,0.91,1
T200303,M101688,2025-09-30,Lifestyle,9.96,6.96,1.56,1
T200304,M101242,2025-12-03,Dining,15.53,6.3,1.25,1
T200305,M100654,2025-09-27,Travel,22.3,12.51,1.76,1
T200306,M100936,2025-10-08,Events,18.96,12.21,0.79,1
T200307,M101362,2025-09-20,Events,17.99,7.86,0.9,1
T200308,M100003,2026-02-04,Gifts,15.01,7.53,1.15,1
T200309,M101661,2025-11-18,Events,16.92,11.3,0.88,1
T200310,M101566,2025-10-17,Events,18.44,9.06,0.88,1
T200311,M101746,2025-11-10,Travel,19.79,6.45,0.54,1
T200312,M100169,2025-10-02,Dining,10.81,6.99,0.6,1
T200313,M101705,2025-10-18,Events,18.17,3.88,1.71,1
T200314,M101104,2026-02-19,Dining,14.24,9.63,0.71,1
T200315,M100999,2026-01-21,Lifestyle,19.17,8.7,1.29,1
T200316,M100323,2025-11-03,Dining,11.73,7.16,0.32,1
T200317,M100885,2025-12-23,Dining,13.55,8.43,0.92,1
T200318,M100653,2025-12-23,Gifts,12.75,5.49,0.54,1
T200319,M101777,2025-09-14,Dining,12.01,8.17,0.83,0
T200320,M100611,2026-02-09,Travel,24.68,10.01,1.23,1
T200321,M100392,2025-11-23,Lifestyle,9.66,6.54,0.8,1
T200322,M101703,2025-12-31,Gifts,16.13,5.34,1.57,1
T200323,M100337,2026-02-16,Dining,9.41,6.14,1.02,1
T200324,M101628,2025-12-20,Dining,13.7,8.58,0.97,1
T200325,M101733,2025-12-14,Events,15.64,6.92,0.78,0
T200326,M100553,2025-12-06,Events,15.44,6.29,0.6,1
T200327,M101240,2026-01-28,Dining,11.11,8.57,0.65,1
T200328,M101434,2025-10-17,Dining,12.91,6.97,1.07,1
T200329,M100965,2025-12-23,Lifestyle,4.63,4.89,0.64,1
T200330,M101254,2025-11-14,Travel,20.32,10.65,0.81,1
T200331,M100237,2025-11-19,Gifts,14.74,6.09,0.78,1
T200332,M100928,2025-11-16,Dining,6.48,4.71,1.49,1
T200333,M100923,2025-11-27,Events,16.36,9.75,0.96,1
T200334,M101019,2026-01-02,Events,23.81,10.58,1.0,1
T200335,M101699,2025-11-29,Travel,17.89,11.13,0.6,1
T200336,M101484,2025-11-22,Events,18.13,11.38,0.6,1
T200337,M101085,2026-02-22,Dining,11.11,5.03,0.54,1
T200338,M100726,2025-10-18,Lifestyle,16.94,6.49,0.86,1
T200339,M100728,2025-12-07,Gifts,10.01,7.39,0.32,1
T200340,M100036,2026-01-04,Travel,20.82,6.27,1.16,1
T200341,M100991,2026-02-20,Events,17.15,6.47,1.06,1
T200342,M100454,2026-01-02,Lifestyle,17.55,7.17,0.47,1
T200343,M101595,2025-12-15,Travel,25.23,11.64,0.82,1
T200344,M101392,2025-09-28,Travel,27.04,12.23,1.3,0
T200345,M101643,2025-11-01,Gifts,12.77,4.05,0.89,1
T200346,M101792,2025-12-12,Dining,12.39,6.7,0.46,1
T200347,M100720,2026-02-03,Gifts,10.95,6.59,1.32,1
T200348,M100771,2026-01-07,Dining,13.03,5.42,1.25,1
T200349,M101094,2025-09-13,Gifts,7.77,4.66,1.33,1
T200350,M100774,2026-02-02,Travel,17.17,9.31,0.56,0
T200351,M100502,2025-11-04,Dining,12.65,7.05,1.99,1
T200352,M101272,2025-11-24,Lifestyle,13.74,7.01,1.02,1
T200353,M100811,2026-01-17,Events,27.9,9.95,0.87,1
T200354,M101695,2025-09-21,Travel,21.37,8.33,1.01,1
T200355,M100395,2025-12-17,Gifts,13.09,10.12,1.2,1
T200356,M100798,2025-10-29,Events,13.77,8.76,1.45,1
T200357,M100956,2026-02-08,Dining,12.98,9.44,0.6,1
T200358,M101634,2025-09-05,Gifts,12.43,6.09,0.78,1
T200359,M101040,2026-02-22,Lifestyle,18.3,7.72,0.63,1
T200360,M100124,2026-01-01,Dining,11.48,6.92,0.32,1
T200361,M100608,2025-09-14,Lifestyle,8.69,5.78,0.99,1
T200362,M101594,2025-11-03,Events,19.85,9.57,1.23,1
T200363,M100489,2025-10-27,Dining,8.21,6.43,0.62,1
T200364,M100613,2025-12-31,Gifts,7.96,5.61,0.67,1
T200365,M100271,2025-10-08,Travel,22.66,10.27,0.67,1
T200366,M101294,2025-09-11,Gifts,11.83,8.46,1.25,1
T200367,M100251,2025-11-06,Events,15.04,6.75,0.72,1
T200368,M100662,2026-01-17,Dining,9.33,9.14,0.12,1
T200369,M101280,2025-09-15,Dining,13.8,7.05,0.93,1
T200370,M101611,2026-02-25,Travel,20.76,8.98,0.75,1
T200371,M100398,2025-09-17,Events,17.08,10.14,0.53,0
T200372,M100597,2026-02-24,Lifestyle,13.33,8.12,0.9,1
T200373,M100212,2026-02-15,Lifestyle,6.38,6.6,0.96,1
T200374,M100788,2026-02-18,Lifestyle,11.79,6.42,0.79,1
T200375,M101797,2026-01-22,Events,24.42,7.71,0.84,1
T200376,M100547,2025-10-18,Dining,18.2,6.27,0.3,1
T200377,M100467,2025-12-16,Gifts,10.99,6.75,0.56,1
T200378,M100719,2026-02-11,Dining,13.26,6.9,1.0,1
T200379,M101612,2025-12-26,Dining,14.27,7.66,1.15,1
T200380,M100984,2025-08-30,Dining,4.54,6.78,0.63,1
T200381,M101096,2025-11-23,Lifestyle,14.6,7.09,1.54,1
T200382,M101404,2025-10-17,Gifts,12.75,8.69,0.82,1
T200383,M101287,2026-01-09,Dining,11.12,10.53,0.65,1
T200384,M101077,2025-11-24,Lifestyle,12.63,6.34,0.95,1
T200385,M101009,2025-10-05,Gifts,14.24,7.31,1.02,0
T200386,M100959,2025-10-27,Events,15.95,9.38,0.91,1
T200387,M100325,2026-02-24,Dining,9.81,8.1,0.88,1
T200388,M100745,2025-11-08,Travel,25.4,11.85,1.09,1
T200389,M101524,2025-10-06,Travel,20.24,11.92,1.37,1
T200390,M100070,2026-02-01,Gifts,12.74,7.69,0.56,1
T200391,M101490,2025-12-17,Events,16.91,12.61,0.61,1
T200392,M101018,2025-11-01,Travel,21.82,11.32,0.93,1
T200393,M100629,2026-02-25,Travel,15.2,9.74,1.2,1
T200394,M100205,2025-10-21,Events,20.89,11.3,0.26,1
T200395,M101374,2025-09-26,Lifestyle,16.94,6.65,0.95,1
T200396,M100001,2025-11-23,Dining,10.81,6.99,1.48,1
T200397,M100977,2025-12-07,Gifts,11.47,9.13,0.99,1
T200398,M100292,2026-02-09,Lifestyle,7.94,5.21,1.1,1
T200399,M101636,2025-10-18,Gifts,10.54,3.7,0.94,1
T200400,M100328,2025-09-09,Travel,17.82,9.8,1.0,1
T200401,M101445,2025-09-20,Gifts,16.55,7.9,1.14,1
T200402,M101033,2025-11-19,Lifestyle,8.99,7.84,0.62,1
T200403,M100073,2026-02-19,Gifts,15.14,7.28,0.43,1
T200404,M101296,2026-01-05,Dining,6.31,5.24,1.1,1
T200405,M101582,2026-01-09,Dining,12.69,6.45,0.91,1
T200406,M100398,2026-02-24,Dining,12.71,4.92,1.56,1
T200407,M101743,2026-02-04,Dining,9.36,5.14,0.41,1
T200408,M101437,2025-11-14,Gifts,11.92,3.88,1.22,1
T200409,M101335,2026-02-08,Travel,15.69,5.6,0.56,1
T200410,M100604,2026-02-19,Gifts,11.07,8.12,0.97,1
T200411,M100215,2025-09-08,Gifts,14.29,6.39,1.13,1
T200412,M100772,2025-11-09,Events,16.86,12.31,0.9,1
T200413,M101453,2025-10-03,Dining,5.12,3.38,0.94,1
T200414,M101055,2026-01-12,Travel,28.75,14.0,0.85,1
T200415,M101165,2025-12-22,Dining,7.4,5.75,0.91,1
