member_id,segment,tier,join_date,channel,monthly_fee,status,churn_date
M100209,CapitalOneConcierge,Plus,2025-06-16,Partner,60.0,Active,
M100210,CapitalOneConcierge,Plus,2025-11-09,Direct,60.0,Active,
M100211,CapitalOneConcierge,Standard,2025-05-05,Partner,25.0,Active,
M100212,VelocityBlack,Standard,2024-09-19,Direct,25.0,Churned,2025-11-24
M100213,CapitalOneConcierge,Standard,2024-10-12,Partner,25.0,Active,
M100214,CapitalOneConcierge,Standard,2025-11-15,Partner,25.0,Churned,2025-12-26
M100215,CapitalOneConcierge,Standard,2025-11-02,Direct,25.0,Active,
M100216,VelocityBlack,Standard,2025-10-24,Direct,25.0,Active,
M100217,VelocityBlack,Standard,2024-11-10,Partner,25.0,Active,
M100218,CapitalOneConcierge,Plus,2024-12-04,Partner,60.0,Active,
M100219,VelocityBlack,Plus,2025-04-04,Direct,60.0,Active,
M100220,VelocityBlack,Plus,2025-01-05,Direct,60.0,Churned,2025-11-03
M100221,CapitalOneConcierge,Plus,2025-03-30,Direct,60.0,Active,
M100222,CapitalOneConcierge,Standard,2025-07-01,Partner,25.0,Churned,2026-01-29
M100223,CapitalOneConcierge,Standard,2025-02-01,Partner,25.0,Active,
M100224,VelocityBlack,Plus,2024-11-08,Direct,60.0,Active,
M100225,CapitalOneConcierge,Standard,2025-04-08,Partner,25.0,Churned,2026-02-05
M100226,VelocityBlack,Premium,2025-09-28,Partner,150.0,Active,
M100227,CapitalOneConcierge,Standard,2025-08-02,Partner,25.0,Active,
M100228,CapitalOneConcierge,Premium,2025-02-23,Direct,150.0,Active,
M100229,VelocityBlack,Plus,2025-02-18,Direct,60.0,Active,
M100230,VelocityBlack,Standard,2025-07-15,Direct,25.0,Churned,2025-07-22
M100231,VelocityBlack,Plus,2024-12-05,Direct,60.0,Active,
M100232,CapitalOneConcierge,Standard,2025-11-27,Direct,25.0,Churned,2025-07-03
M100233,CapitalOneConcierge,Standard,2025-12-16,Direct,25.0,Active,
M100234,CapitalOneConcierge,Standard,2024-09-16,Direct,25.0,Churned,2025-10-11
M100235,CapitalOneConcierge,Standard,2026-02-09,Partner,25.0,Active,
M100236,CapitalOneConcierge,Plus,2024-09-15,Direct,60.0,Active,
M100237,CapitalOneConcierge,Standard,2025-05-08,Partner,25.0,Churned,2025-12-16
M100238,VelocityBlack,Plus,2025-08-29,Direct,60.0,Active,
M100239,VelocityBlack,Premium,2025-02-26,Partner,150.0,Active,
M100240,CapitalOneConcierge,Plus,2024-12-21,Direct,60.0,Active,
M100241,CapitalOneConcierge,Plus,2024-09-28,Partner,60.0,Active,
M100242,VelocityBlack,Plus,2025-09-30,Partner,60.0,Active,
M100243,CapitalOneConcierge,Plus,2024-09-22,Direct,60.0,Active,
M100244,CapitalOneConcierge,Premium,2025-05-22,Partner,150.0,Active,
M100245,CapitalOneConcierge,Standard,2025-04-03,Direct,25.0,Active,
M100246,CapitalOneConcierge,Plus,2026-02-07,Partner,60.0,Active,
M100247,VelocityBlack,Plus,2026-01-18,Direct,60.0,Churned,2025-07-01
M100248,VelocityBlack,Standard,2025-11-18,Direct,25.0,Churned,2025-10-03
M100249,VelocityBlack,Standard,2025-10-02,Direct,25.0,Churned,2025-12-28
M100250,CapitalOneConcierge,Standard,2025-06-23,Referral,25.0,Active,
M100251,CapitalOneConcierge,Standard,2025-03-10,Direct,25.0,Active,
M100252,CapitalOneConcierge,Standard,2024-12-01,Partner,25.0,Active,
M100253,VelocityBlack,Premium,2026-02-07,Direct,150.0,Active,
M100254,VelocityBlack,Standard,2025-03-29,Direct,25.0,Active,
M100255,CapitalOneConcierge,Standard,2025-04-22,Direct,25.0,Active,
M100256,CapitalOneConcierge,Plus,2024-11-18,Referral,60.0,Active,
M100257,VelocityBlack,Plus,2025-01-30,Partner,60.0,Churned,2025-07-28
M100258,VelocityBlack,Standard,2025-08-11,Direct,25.0,Active,
M100259,CapitalOneConcierge,Standard,2025-04-21,Partner,25.0,Churned,2025-09-19
M100260,VelocityBlack,Premium,2025-07-16,Direct,150.0,Active,
M100261,CapitalOneConcierge,Standard,2024-12-26,Direct,25.0,Active,
M100262,VelocityBlack,Plus,2024-10-17,Direct,60.0,Active,
M100263,VelocityBlack,Standard,2025-12-25,Direct,25.0,Active,
M100264,CapitalOneConcierge,Premium,2025-04-24,Direct,150.0,Active,
M100265,VelocityBlack,Premium,2025-03-17,Partner,150.0,Active,
M100266,VelocityBlack,Plus,2025-02-04,Direct,60.0,Churned,2025-07-23
M100267,VelocityBlack,Premium,2025-08-24,Referral,150.0,Active,
M100268,VelocityBlack,Standard,2025-07-04,Partner,25.0,Active,
M100269,VelocityBlack,Plus,2025-04-01,Partner,60.0,Churned,2025-07-01
M100270,VelocityBlack,Premium,2026-01-18,Partner,150.0,Active,
M100271,VelocityBlack,Plus,2026-01-02,Referral,60.0,Active,
M100272,VelocityBlack,Standard,2024-12-19,Direct,25.0,Churned,2025-11-27
M100273,CapitalOneConcierge,Standard,2025-08-15,Direct,25.0,Active,
M100274,CapitalOneConcierge,Premium,2026-02-07,Direct,150.0,Active,
M100275,VelocityBlack,Plus,2025-05-24,Referral,60.0,Active,
M100276,VelocityBlack,Premium,2024-09-19,Direct,150.0,Active,
M100277,CapitalOneConcierge,Premium,2024-11-13,Partner,150.0,Active,
M100278,CapitalOneConcierge,Standard,2025-08-29,Partner,25.0,Active,
M100279,CapitalOneConcierge,Standard,2026-01-03,Direct,25.0,Active,
M100280,VelocityBlack,Plus,2024-11-11,Referral,60.0,Active,
M100281,VelocityBlack,Standard,2025-06-25,Direct,25.0,Active,
M100282,VelocityBlack,Plus,2025-05-29,Direct,60.0,Churned,2025-12-30
M100283,VelocityBlack,Standard,2025-02-03,Partner,25.0,Active,
M100284,CapitalOneConcierge,Premium,2025-08-10,Direct,150.0,Active,
M100285,VelocityBlack,Standard,2025-12-21,Direct,25.0,Active,
M100286,VelocityBlack,Plus,2025-01-10,Direct,60.0,Active,
M100287,VelocityBlack,Standard,2024-10-02,Direct,25.0,Active,
M100288,CapitalOneConcierge,Premium,2025-03-15,Partner,150.0,Active,
M100289,VelocityBlack,Plus,2025-02-19,Referral,60.0,Active,
M100290,CapitalOneConcierge,Standard,2025-09-30,Direct,25.0,Active,
M100291,VelocityBlack,Premium,2025-06-19,Direct,150.0,Active,
M100292,CapitalOneConcierge,Standard,2024-09-12,Direct,25.0,Active,
M100293,VelocityBlack,Standard,2025-03-05,Referral,25.0,Active,
M100294,CapitalOneConcierge,Premium,2025-10-04,Partner,150.0,Churned,2025-12-02
M100295,CapitalOneConcierge,Plus,2025-05-18,Direct,60.0,Active,
M100296,CapitalOneConcierge,Standard,2025-07-03,Direct,25.0,Active,
M100297,CapitalOneConcierge,Standard,2025-01-23,Referral,25.0,Active,
M100298,CapitalOneConcierge,Standard,2025-02-22,Referral,25.0,Active,
M100299,CapitalOneConcierge,Standard,2024-11-12,Direct,25.0,Active,
M100300,CapitalOneConcierge,Standard,2024-10-17,Partner,25.0,Active,
M100301,VelocityBlack,Standard,2024-09-22,Direct,25.0,Churned,2026-02-15
M100302,CapitalOneConcierge,Plus,2025-08-06,Direct,60.0,Active,
M100303,CapitalOneConcierge,Standard,2024-11-27,Partner,25.0,Active,
M100304,CapitalOneConcierge,Standard,2025-07-09,Direct,25.0,Active,
M100305,CapitalOneConcierge,Plus,2026-01-30,Direct,60.0,Active,
M100306,VelocityBlack,Plus,2025-09-14,Referral,60.0,Active,
M100307,CapitalOneConcierge,Plus,2025-07-10,Partner,60.0,Active,
M100308,VelocityBlack,Standard,2024-11-05,Direct,25.0,Active,
M100309,VelocityBlack,Standard,2025-05-25,Partner,25.0,Active,
M100310,CapitalOneConcierge,Standard,2025-12-28,Partner,25.0,Active,
M100311,VelocityBlack,Plus,2025-03-29,Partner,60.0,Active,
M100312,VelocityBlack,Standard,2025-11-23,Referral,25.0,Active,
M100313,VelocityBlack,Plus,2025-09-20,Partner,60.0,Active,
M100314,VelocityBlack,Standard,2025-01-25,Direct,25.0,Churned,2025-07-25
M100315,VelocityBlack,Premium,2024-11-18,Direct,150.0,Active,
M100316,VelocityBlack,Standard,2024-09-12,Partner,25.0,Active,
M100317,CapitalOneConcierge,Standard,2025-01-30,Referral,25.0,Active,
M100318,VelocityBlack,Standard,2025-03-01,Direct,25.0,Active,
M100319,CapitalOneConcierge,Standard,2025-08-23,Direct,25.0,Churned,2025-07-07
M100320,CapitalOneConcierge,Standard,2025-07-09,Partner,25.0,Active,
M100321,CapitalOneConcierge,Plus,2025-05-19,Direct,60.0,Active,
M100322,VelocityBlack,Standard,2025-09-28,Direct,25.0,Active,
M100323,CapitalOneConcierge,Premium,2025-10-23,Referral,150.0,Active,
M100324,CapitalOneConcierge,Standard,2025-09-23,Partner,25.0,Active,
M100325,CapitalOneConcierge,Plus,2025-12-31,Referral,60.0,Active,
M100326,CapitalOneConcierge,Standard,2025-03-16,Partner,25.0,Active,
M100327,CapitalOneConcierge,Plus,2025-11-21,Direct,60.0,Active,
M100328,CapitalOneConcierge,Standard,2025-04-18,Referral,25.0,Active,
M100329,VelocityBlack,Standard,2024-12-11,Direct,25.0,Active,
M100330,CapitalOneConcierge,Standard,2024-11-20,Direct,25.0,Churned,2025-09-21
M100331,VelocityBlack,Premium,2024-10-22,Referral,150.0,Churned,2025-07-18
M100332,CapitalOneConcierge,Standard,2026-02-01,Partner,25.0,Active,
M100333,CapitalOneConcierge,Standard,2024-12-03,Referral,25.0,Active,
M100334,VelocityBlack,Plus,2025-11-28,Direct,60.0,Active,
M100335,CapitalOneConcierge,Standard,2025-10-31,Referral,25.0,Active,
M100336,VelocityBlack,Standard,2025-04-28,Partner,25.0,Active,
M100337,CapitalOneConcierge,Plus,2026-01-09,Partner,60.0,Active,
M100338,VelocityBlack,Premium,2026-01-06,Referral,150.0,Active,
M100339,CapitalOneConcierge,Standard,2026-01-15,Direct,25.0,Churned,2026-01-22
M100340,VelocityBlack,Premium,2025-05-29,Partner,150.0,Active,
M100341,CapitalOneConcierge,Standard,2025-02-11,Partner,25.0,Active,
M100342,CapitalOneConcierge,Standard,2024-09-26,Partner,25.0,Active,
M100343,CapitalOneConcierge,Plus,2025-11-30,Referral,60.0,Active,
M100344,CapitalOneConcierge,Standard,2025-12-18,Partner,25.0,Active,
M100345,CapitalOneConcierge,Plus,2025-06-19,Direct,60.0,Churned,2025-12-06
M100346,CapitalOneConcierge,Standard,2024-10-11,Direct,25.0,Active,
M100347,VelocityBlack,Premium,2025-11-21,Referral,150.0,Active,
M100348,CapitalOneConcierge,Plus,2025-02-11,Referral,60.0,Churned,2025-10-17
M100349,VelocityBlack,Standard,2025-06-26,Referral,25.0,Active,
M100350,CapitalOneConcierge,Standard,2025-08-25,Direct,25.0,Active,
M100351,VelocityBlack,Standard,2024-11-20,Direct,25.0,Churned,2025-08-28
M100352,CapitalOneConcierge,Premium,2024-10-06,Partner,150.0,Active,
M100353,CapitalOneConcierge,Plus,2024-10-15,Partner,60.0,Active,
M100354,CapitalOneConcierge,Standard,2026-02-02,Direct,25.0,Churned,2025-10-09
M100355,CapitalOneConcierge,Plus,2026-02-01,Partner,60.0,Churned,2026-01-06
M100356,CapitalOneConcierge,Premium,2025-04-21,Direct,150.0,Active,
M100357,CapitalOneConcierge,Premium,2025-04-20,Direct,150.0,Active,
M100358,CapitalOneConcierge,Standard,2025-04-10,Direct,25.0,Active,
M100359,CapitalOneConcierge,Standard,2025-03-11,Direct,25.0,Active,
M100360,CapitalOneConcierge,Standard,2025-06-23,Direct,25.0,Active,
M100361,VelocityBlack,Standard,2025-03-14,Referral,25.0,Active,
M100362,VelocityBlack,Plus,2025-08-01,Partner,60.0,Active,
M100363,VelocityBlack,Plus,2025-03-26,Referral,60.0,Active,
M100364,CapitalOneConcierge,Standard,2025-08-09,Direct,25.0,Active,
M100365,VelocityBlack,Standard,2026-01-26,Direct,25.0,Active,
M100366,CapitalOneConcierge,Standard,2024-12-23,Direct,25.0,Active,
M100367,CapitalOneConcierge,Standard,2024-10-06,Partner,25.0,Active,
M100368,VelocityBlack,Standard,2025-06-14,Direct,25.0,Active,
